video_trending_country,video_category_id,trending_appearances,total_views,avg_views,total_likes,rank
Denmark,Science & Technology,1119,1596726365,18353177,69502614,8
Denmark,Education,708,317151895,4530741,11714773,9
Denmark,Howto & Style,609,1337892995,46134241,24297464,10
Dominican Republic,Music,27194,7868671102,2775545,227957739,1
Dominican Republic,Gaming,25065,5729660449,486389,160691922,2
Dominican Republic,Entertainment,11901,4806300338,3307846,157857870,3
Dominican Republic,People & Blogs,8600,1721395127,1344840,36312592,4
Dominican Republic,Sports,2532,1063082769,3730115,25756401,5
Dominican Republic,Film & Animation,1749,642982859,2909425,24306375,6
Dominican Republic,News & Politics,817,89789062,945148,1085945,7
Dominican Republic,Howto & Style,685,75552577,2798244,2155147,8
Dominican Republic,Comedy,582,62487741,1453203,3847841,9
Dominican Republic,Pets & Animals,322,36809112,3346283,496254,10
Ecuador,Music,29093,9611628522,2595633,267540654,1
Ecuador,Gaming,27744,6366642879,367589,185760672,2
Ecuador,Entertainment,14101,4814994506,2526230,161680908,3
Ecuador,People & Blogs,12042,2017023919,851424,45276953,4
Ecuador,Sports,4536,1289051035,2331015,28882405,5
Ecuador,Film & Animation,2051,721551612,2049863,25601070,6
Ecuador,Comedy,1472,110731057,1118496,6166999,7
Ecuador,News & Politics,1174,119150181,876104,1423834,8
Ecuador,Howto & Style,869,79817696,1995442,2462031,9
Ecuador,Travel & Events,342,19946498,797860,1051505,10
Egypt,Gaming,32019,5539580566,320615,174807725,1
Egypt,Entertainment,17130,3900207029,2007312,124755052,2
Egypt,Music,13501,4022824630,1930338,119849005,3
Egypt,People & Blogs,8799,1198416866,618378,40150477,4
Egypt,Sports,5365,1281413152,1935669,34765625,5
Egypt,Education,2209,149522184,830679,7285044,6
Egypt,Comedy,1610,131067074,1598379,6149837,7
Egypt,News & Politics,1374,131277617,1141544,1798294,8
Egypt,Film & Animation,1314,420186858,1424362,19264253,9
Egypt,Howto & Style,779,125402745,864847,5646151,10
El Salvador,Gaming,20333,5075569395,1273030,149939118,1
El Salvador,Music,13821,5250097471,6083543,107714654,2
El Salvador,Entertainment,10250,18856807271,26633909,592018724,3
El Salvador,People & Blogs,9010,14808208924,22781860,313493379,4
El Salvador,Sports,2760,2816406455,10548339,74012129,5
El Salvador,Film & Animation,2052,1237387292,10575960,47999707,6
El Salvador,Comedy,1616,2853106551,34793982,57081531,7
El Salvador,Science & Technology,758,948402977,27097228,40123668,8
El Salvador,Howto & Style,609,3922974876,75441825,60747579,9
El Salvador,Education,376,217469473,7766767,4664796,10
Estonia,Entertainment,16326,22336028535,27920036,697235990,1
Estonia,People & Blogs,10051,11500967313,25501036,274398855,2
Estonia,Gaming,8524,4028284185,4165754,133743627,3
Estonia,Comedy,4238,4046604830,20858788,122420289,4
Estonia,Sports,3422,4563249514,24533600,137712151,5
Estonia,Music,3008,2338202178,17320016,68924070,6
Estonia,News & Politics,2238,418197818,2519264,8768230,7
Estonia,Film & Animation,1368,786484464,13330245,31713993,8
Estonia,Science & Technology,1365,1600280194,23192467,64698379,9
Estonia,Autos & Vehicles,1314,234551041,3723032,7056992,10
Finland,Gaming,28189,5472061837,1024923,184909294,1
Finland,Entertainment,13189,15355754494,13625337,508163506,2
Finland,People & Blogs,7674,9990341131,16595251,242875663,3
Finland,Music,6585,4038695658,9284358,113669436,4
Finland,Sports,4050,4674985841,14428969,148691486,5
Finland,Comedy,2824,3404189839,17457384,115300719,6
Finland,Film & Animation,1381,854321318,9186251,31992988,7
Finland,Science & Technology,1110,1385529200,13718111,63022008,8
Finland,Howto & Style,978,1914366734,35451236,32763083,9
Finland,Travel & Events,631,385469716,7412879,22038475,10
France,Gaming,29247,3172144485,166779,120119945,1
France,Music,21993,6922710609,1174336,270284649,2
France,Entertainment,16536,3804402693,1210052,136240541,3
France,Sports,8146,1299741876,1120467,29903363,4
France,People & Blogs,4184,1040498067,852169,25230877,5
France,Comedy,3493,287547237,876668,17579971,6
France,News & Politics,2476,116792521,434173,2288732,7
France,Film & Animation,2250,828160421,1045657,26879667,8
France,Science & Technology,2020,189880739,598993,5600444,9
France,Autos & Vehicles,1591,114172409,671602,7236694,10
Georgia,Gaming,14129,3955137947,1350798,115606112,1
Georgia,Entertainment,13440,24765928414,20970303,646145016,2
Georgia,People & Blogs,12067,22233428907,28395184,425373631,3
Georgia,Music,8087,3871641700,8032452,80835014,4
Georgia,Comedy,4120,5888452359,22220575,119866108,5
Georgia,Sports,2951,4228869467,18386389,115969149,6
Georgia,Howto & Style,2183,6288945088,42781939,93744447,7
Georgia,Film & Animation,975,1054827945,17878440,29240967,8
Georgia,News & Politics,468,131531473,3653652,2804672,9
Georgia,Pets & Animals,460,1157418878,42867366,19537657,10
Germany,Gaming,33330,5563228638,246455,207496736,1
Germany,Entertainment,16567,5151039982,1408928,170163205,2
