video_trending_country,channel_title,channel_custom_url,video_category_id,trending_appearances,total_views,total_videos,channel_subscribers,channel_view_count,rank
Kazakhstan,ВЛАДУС,@vladus,Gaming,355,54952263,95,11000000,4169437674,8
Kazakhstan,ВЛАДУС ИГРАЕТ,@vladusgame,Gaming,355,53726845,82,6000000,2638151043,9
Kazakhstan,Family Play TV,@familyplaytv,Gaming,355,27544117,90,4160000,2078868288,10
Kenya,SamSpedy,@samspedy,Comedy,622,58477136,27,4090000,1492960824,1
Kenya,Alex Kasau Katombi,@alexkasaukatombi,Music,533,8393289,25,719000,174993619,2
Kenya,Stephen Kasolo Official,@stephenkasolo,Music,475,6224429,40,975000,207767638,3
Kenya,Zuchu,@officialzuchu,Music,421,40805624,19,4740000,1186835295,4
Kenya,MrBeast,@mrbeast,Entertainment,401,3178005172,25,415000000,90957106039,5
Kenya,Mbosso,@mbossokhan,Music,392,50606753,18,4210000,1187849924,6
Kenya,MariooOfficial,@mariooofficialmusic,Music,369,52918057,17,2370000,656939091,7
Kenya,Diamond Platnumz,@dplatnumz,Music,356,56277387,18,11600000,3728741805,8
Kenya,Foltyn,@foltynfamily,Gaming,355,200353325,133,12300000,4206223213,9
Kenya,Cash,@cash,Entertainment,355,76570149,156,11300000,3679174158,10
Kuwait,صالح - oPiiLz,@opiilz,Entertainment,744,67351088,70,10300000,3092856243,1
Kuwait,تجارب اسراء - Esraa Nabil,@esraanabil2,People & Blogs,697,51043735,23,3880000,675892554,2
Kuwait,Brawl Stars,@brawlstars,Gaming,665,466181500,49,25700000,4873772550,3
Kuwait,beIN SPORTS,@beinsports,Sports,629,195062571,56,14300000,2333986858,4
Kuwait,Nasser HD,@nasser_hd,Gaming,577,28382368,46,1700000,413378992,5
Kuwait,T-Series,@tseries,Music,566,1327639684,48,313000000,348663253146,6
Kuwait,The wonder roby (‫روبي الخارقه‬‎),@thewonderroby,Film & Animation,566,21487586,22,1290000,518637330,7
Kuwait,BanderitaX,@banderitax,Gaming,522,61090477,62,20900000,6747936190,8
Kuwait,Peace Cake,@peacecake,Comedy,466,18077634,15,2740000,838232296,9
Kuwait,mohammed oden,@mohammed-oden,Film & Animation,433,19133064,24,1490000,184394967,10
Laos,Stokes Twins,@stokestwins,People & Blogs,498,2198037708,20,128000000,24217640536,1
Laos,CRAZY GREAPA,@crazygreapa,Entertainment,447,1296985445,24,27600000,26544025562,2
Laos,MrBeast,@mrbeast,Entertainment,410,3078334784,18,415000000,90957106039,3
Laos,MTR Mysterios,@mtr9999,Gaming,403,16535980,66,4290000,1261374852,4
Laos,zbing z.,@zbingz,Gaming,398,48101106,99,21900000,12974571294,5
Laos,GRAMMY GOLD OFFICIAL,@grammygoldofficial,Music,394,83174124,25,22200000,28128029215,6
